QB,CLASS,247 RATINGS,STARS,HEIGHT,WEIGHT,POSITION,STATE,HOMETOWN,HIGH SCHOOL,COMMITTED DATE,POSITION RANK,NATIONAL RANK,STATE RANK,COMMITTED SCHOOL ID,COMMITTED SCHOOL,RECRUIT STATUS,PLAYER URL,,,,,,,,STRAIGHT LINE DISTANCE (MILES),DRIVING DISTANCE (MILES)
Drew Devillier,2024,87,3,5-Jun,230,QB,Texas,Plano,Plano East,,48,927,130,24054,Rice,Enrolled,https://247sports.com/player/drew-devillier-46141932/,,,,,,,,240.1,261.3
Deshawn Purdie,2024,84,3,4-Jun,228,QB,Maryland,Baltimore,Milford Mill Academy,,112,2157,50,24318,Charlotte,Enrolled,https://247sports.com/player/deshawn-purdie-46129373/,,,,,,,,,
Cole Hodge,2024,84,3,2-Jun,193,QB,Kentucky,Louisville,Christian Academy of Louisville,,102,2005,19,24050,East Carolina,Enrolled,https://247sports.com/player/cole-hodge-46134010/,,,,,,,,491.3,612
Alberto Mendoza,2024,82,3,2-Jun,215,QB,Florida,Miami,Miami Columbus,,137,2571,295,24040,Indiana,Enrolled,https://247sports.com/player/alberto-mendoza-46135097/,,,,,,,,996,1159
Roman Gagliano,2024,85,3,3-Jun,224,QB,Alabama,Opelika,Opelika,,81,1614,70,24113,Middle Tenn.,Enrolled,https://247sports.com/player/roman-gagliano-46136855/,,,,,,,,228.3,314.6
Emonte Cross,2024,85,3,2-Jun,190,QB,Texas,Center,Center,,158,1828,259,24388,Lamar,Signed,https://247sports.com/player/emonte-cross-46141178/,,,,,,,,121.5,135.9
Winston Watkins,2024,85,3,6-Jun,225,QB,Maryland,Baltimore,Mount Saint Joseph,,159,1829,48,24151,Towson,Signed,https://247sports.com/player/winston-watkins-46144755/,,,,,,,,6.7,10.2
Van Weber,2024,85,3,4-Jun,190,QB,New Jersey,Rutherford,Rutherford,,87,1656,32,24189,UAlbany,Signed,https://247sports.com/player/van-weber-46146127/,,,,,,,,,
Bryan Wilson,2024,85,3,5-11.5,218,QB,California,Corona,Eastvale Roosevelt,,91,1683,118,24215,Campbell,Signed,https://247sports.com/player/bryan-wilson-46117685/,,,,,,,,2195.5,2531.3
Shay Smith,2024,84,3,2-Jun,215,QB,Texas,El Paso,El Paso Franklin,,96,1909,266,24061,UTEP,Enrolled,https://247sports.com/player/shay-smith-46138886/,,,,,,,,,
Ryan Boe,2024,86,3,3-Jun,215,QB,Illinois,Batavia,Batavia,,70,1409,38,24045,Northwestern,Enrolled,https://247sports.com/player/ryan-boe-46142874/,,,,,,,,35.7,50.9
John White,2024,84,3,Jun-00,200,QB,Mississippi,Madison,Madison-Ridgeland Academy,,98,1914,49,24056,Southern Miss,Enrolled,https://247sports.com/player/john-white-46115300/,,,,,,,,98.1,115.9
Ryland Jessee,2024,,0,4-Jun,206,QB,California,La Mesa,Helix,,,,,24043,Michigan State,Enrolled,https://247sports.com/player/ryland-jessee-46129429/,,,,,,,,1891.7,2284.5
Marcelis Tate,2024,85,3,2-Jun,180,QB,Florida,Neptune Beach,Duncan U. Fletcher,,74,1522,163,24036,South Florida,Enrolled,https://247sports.com/player/marcelis-tate-46134882/,,,,,,,,167.3,212.5
Micah Alejado,2024,83,3,10-May,180,QB,Nevada,Las Vegas,Bishop Gorman,,126,2314,12,24119,Hawaii,Enrolled,https://247sports.com/player/micah-alejado-46113374/,,,,,,,,2755.5,
