QB,CLASS,247 RATINGS,STARS,HEIGHT,WEIGHT,POSITION,STATE,HOMETOWN,HIGH SCHOOL,COMMITTED DATE,POSITION RANK,NATIONAL RANK,STATE RANK,COMMITTED SCHOOL ID,COMMITTED SCHOOL,RECRUIT STATUS,PLAYER URL,,,,,,,,STRAIGHT LINE DISTANCE (MILES),DRIVING DISTANCE (MILES)
Stanley Anderson-Lofton,2025,84,3,1-Jun,217,QB,Florida,Orlando,Dr. Phillips,,115,2092,219,24113,Middle Tenn.,Enrolled,https://247sports.com/player/stanley-anderson-lofton-46145418/,,,,,,,,582.6,655.2
Chaston Ditta,2025,83,3,Jun-00,193,QB,Texas,Austin,Lake Travis,,143,2474,330,24050,East Carolina,Enrolled,https://247sports.com/player/chaston-ditta-46148635/,,,,,,,,1228.9,1397.2
Ryan Huff,2025,85,3,3-Jun,215,QB,Florida,Pensacola,Pensacola Catholic,,87,1676,189,24160,Old Dominion,Enrolled,https://247sports.com/player/ryan-huff-46138822/,,,,,,,,769.2,891.8
Jackson Hamilton,2025,84,3,11-May,185,QB,Texas,Manvel,Manvel,,129,2235,315,24012,Maryland,Enrolled,https://247sports.com/player/jackson-hamilton-46113384/,,,,,,,,1237.4,1437.6
Hype Grand,2025,82,3,Jun-00,185,QB,California,Pasadena,Pasadena,,185,2917,269,24074,Ohio,Enrolled,https://247sports.com/player/hype-grand-46117526/,,,,,,,,2013.9,2311.1
Bryce Button,2025,85,3,1-Jun,215,QB,Kentucky,Bowling Green,South Warren,,110,1949,25,24070,Eastern Mich.,Enrolled,https://247sports.com/player/bryce-button-46148783/,,,,,,,,393.1,459.2
Jackson Kilburg,2025,84,3,6-3.5,220,QB,Connecticut,Kent,Kent School,,121,2177,23,24208,Colgate,Signed,https://247sports.com/player/jackson-kilburg-46125352/,,,,,,,,129.6,167.4
Kalen Fisher,2025,,0,4-Jun,201,QB,Arizona,Gilbert,Highland,,,,,24069,Central Michigan,HardCommit,https://247sports.com/player/kalen-fisher-46139758/,,,,,,,,1613.5,1975.1
Walter Moses,2025,83,3,4-Jun,190,QB,Ohio,Perry,Perry,,150,2526,109,24076,Toledo,Enrolled,https://247sports.com/player/walter-moses-46140536/,,,,,,,,158,199.4
Jacob Bell,2025,85,3,2-Jun,213,QB,Illinois,Naperville,Naperville North,,86,1675,42,24040,Indiana,Enrolled,https://247sports.com/player/jacob-bell-46143253/,,,,,,,,198.8,248.5
Jonathan Craft,2025,84,3,Jun-00,170,QB,California,El Cerrito,El Cerrito,,134,2286,188,24118,Fresno State,Enrolled,https://247sports.com/player/jonathan-craft-46144388/,,,,,,,,159.8,185.3
TJ Stanley,2025,85,3,2-Jun,210,QB,Georgia,Lyons,Toombs County,,109,1948,203,24332,Georgia State,Enrolled,https://247sports.com/player/tj-stanley-46149589/,,,,,,,,160.5,178.2
Cibastian Broughton,2025,82,3,11-May,175,QB,Florida,Orange Park,Fleming Island,,171,2774,285,24065,Akron,Enrolled,https://247sports.com/player/cibastian-broughton-46133426/,,,,,,,,753.9,872.1
Carsen Melvin,2025,84,3,3-Jun,210,QB,Indiana,Westfield,Westfield,,139,2347,46,24067,Bowling Green,Enrolled,https://247sports.com/player/carsen-melvin-46122915/,,,,,,,,160.1,190.6
Gavin Parkhurst,2025,84,3,3-Jun,205,QB,Texas,Fort Worth,All Saints Episcopal,,123,2192,308,24240,Texas State,Enrolled,https://247sports.com/player/gavin-parkhurst-46139152/,,,,,,,,200.9,218.4
Khalel Wright,2025,84,3,1-Jun,191,QB,North Carolina,Charlotte,Charlotte Country Day,,141,2437,53,24066,Ball State,Enrolled,https://247sports.com/player/khalel-wright-46139520/,,,,,,,,425.1,540.1
Zach Lawrence,2025,82,3,1-Jun,195,QB,North Carolina,Matthews,Butler,,191,3011,67,24146,Umass,Enrolled,https://247sports.com/player/zach-lawrence-46135330/,,,,,,,,668.3,797.6
Lawrence Wells,2025,82,3,2-Jun,185,QB,Michigan,Brighton,Brighton,,184,2895,59,24488,Saginaw Valley State,Enrolled,https://247sports.com/player/lawrence-wells-46146718/,,,,,,,,70,76
Sebastian Circo,2025,82,3,2-Jun,195,QB,Florida,Fort Lauderdale,Western,,180,2851,291,24084,UNLV,Enrolled,https://247sports.com/player/sebastian-circo-46129846/,,,,,,,,2168.7,2497.1
Garyt Odom,2025,82,3,2-Jun,187,QB,Arkansas,Fayetteville,Fayetteville,,172,2779,19,24048,Purdue,Enrolled,https://247sports.com/player/garyt-odom-46131819/,,,,,,,,494.7,615.7
Coleman Carter,2025,82,3,1-Jun,180,QB,Mississippi,Natchez,Adams County Christian School,,186,2931,70,24111,Louisiana,Enrolled,https://247sports.com/player/coleman-carter-46143512/,,,,,,,,100.1,146.4
Tyler Travers,2025,83,3,5-Jun,205,QB,Tennessee,Mt. Juliet,Mt. Juliet,,148,2504,77,25312,Limestone,HardCommit,https://247sports.com/player/tyler-travers-46138758/,,,,,,,,280,354
Austyn Modrzewski,2025,83,3,6-4.5,177,QB,Colorado,Littleton,Mountain Vista,,151,2543,10,24156,South Dakota,Signed,https://247sports.com/player/austyn-modrzewski-46141196/,,,,,,,,474.2,571.3
River Warren,2025,83,3,3-Jun,195,QB,Oklahoma,Oklahoma City,Del City,,167,2711,35,24129,Montana State,Signed,https://247sports.com/player/river-warren-46132107/,,,,,,,,998.6,1364.5
Kingston Tisdell,2025,83,3,Jun-00,180,QB,California,Inglewood,Inglewood,,159,2587,226,24134,Weber State,Signed,https://247sports.com/player/kingston-tisdell-46139497/,,,,,,,,610.6,734.3
Chase Herbstreit,2025,83,3,1-Jun,198,QB,Ohio,Cincinnati,St. Xavier,,160,2607,117,24042,Michigan,Enrolled,https://247sports.com/player/chase-herbstreit-46140648/,,,,,,,,224.6,250.2
Finley Polk,2025,83,3,3-Jun,175,QB,South Carolina,Rock Hill,Northwestern,,166,2685,40,24137,Gardner-Webb,Signed,https://247sports.com/player/finley-polk-46140958/,,,,,,,,42.8,55.1
Wells Bettenhausen,2025,83,3,5-Jun,225,QB,Florida,Defuniak Springs,Walton ,,168,2721,279,24439,Lenoir-Rhyne,Signed,https://247sports.com/player/wells-bettenhausen-46148970/,,,,,,,,443.6,540.8
Patrick Crayton Jr.,2025,83,3,Jun-00,200,QB,Texas,Carrollton,Hebron,,142,2473,329,24054,Rice,Enrolled,https://247sports.com/player/patrick-crayton-jr-46155826/,,,,,,,,240.4,259.5
Jarret Nielsen,2025,82,3,11-May,210,QB,California,Long Beach,Jordan,,177,2797,248,24119,Hawaii,Enrolled,https://247sports.com/player/jarret-nielsen-46130384/,,,,,,,,2557.8,N/A
Camren Boykin,2025,83,3,2-Jun,190,QB,Maryland,Upper Marlboro,Maret School,,146,2498,9,24075,Temple,Enrolled,https://247sports.com/player/camren-boykin-46140432/,,,,,,,,117.2,137.2
Nolan Good,2025,84,3,2-Jun,195,QB,Ohio,Avon,Avon,,136,2302,100,24071,Kent State,Enrolled,https://247sports.com/player/nolan-good-46144185/,,,,,,,,41.9,54
Brady Davidson,2025,82,3,5-Jun,210,QB,Missouri,Columbia,Rock Bridge,,178,2817,43,24073,Northern Illinois,Enrolled,https://247sports.com/player/brady-davidson-46141402/,,,,,,,,278.2,366.1
Draiden Trudeau,2025,82,3,Jun-00,190,QB,California,Mission Viejo,Mission Viejo,,188,2964,276,24082,San Diego State,Enrolled,https://247sports.com/player/draiden-trudeau-46144235/,,,,,,,,66,74.1
Vance Holtz,2025,83,3,Jun-00,215,QB,Wisconsin,Hartland,Arrowhead,,149,2524,20,24077,Western Michigan,Enrolled,https://247sports.com/player/vance-holtz-46137231/,,,,,,,,149.9,255.3
Chanston Crosby,2025,80,3,2-Jun,195,QB,South Carolina,Bamberg,Bamberg-Ehrhardt,7/15/2024,207,3187,48,24159,North Carolina Central,Enrolled,https://247sports.com/player/chanston-crosby-46134400/,,,,,,,,225.6,286.9
Ryan Downes,2025,82,3,6-4.5,215,QB,Florida,Sarasota,Booker,,190,2980,306,24165,Cornell,HardCommit,https://247sports.com/player/ryan-downes-46114952/,,,,,,,,1098.5,1254.9
Tyus Miller,2025,82,3,10-May,165,QB,California,Clovis,Clovis East,,174,2791,243,24158,UC Davis,Signed,https://247sports.com/player/tyus-miller-46132157/,,,,,,,,164.2,189.1
Cason Carswell,2025,82,3,3-Jun,185,QB,Michigan,Mason,Mason,,183,2893,57,24187,Western Illinois,Enrolled,https://247sports.com/player/cason-carswell-46138192/,,,,,,,,331.7,465.9
Jahmeir Spain,2025,82,3,3-Jun,180,QB,Ohio,Cincinnati,Mt. Healthy,,169,2770,124,25690,Lake Erie,HardCommit,https://247sports.com/player/jahmeir-spain-46139324/,,,,,,,,249.2,277.8
Toa Faavae,2025,82,3,1-Jun,195,QB,California,Concord,De La Salle,,176,2796,247,24081,New Mexico,Enrolled,https://247sports.com/player/toa-faavae-46141782/,,,,,,,,877.6,1075.4
Treynor Cleeland,2025,82,3,1-Jun,205,QB,Oregon,Portland,Portland Jesuit,,182,2883,17,24158,UC Davis,Signed,https://247sports.com/player/treynor-cleeland-46144519/,,,,,,,,484.8,572.6
Kaz Rebarcak,2025,82,3,3-Jun,200,QB,Iowa,Davenport,Davenport North,,170,2773,24,24184,Northern Iowa,Signed,https://247sports.com/player/kaz-rebarcak-46147020/,,,,,,,,118.5,142.5
Charlie Smith,2025,82,3,2-Jun,195,QB,North Carolina,Charlotte,Charlotte Catholic,,189,2969,66,24167,Harvard,HardCommit,https://247sports.com/player/charlie-smith-46147891/,,,,,,,,718.8,829.9
Preston Brown,2025,82,3,1-Jun,215,QB,Missouri,Hillsboro,Hillsboro,,179,2818,44,24183,North Dakota State,Enrolled,https://247sports.com/player/preston-brown-46150289/,,,,,,,,677.5,869.8
Chase Kwiatkowski,2025,82,3,3-Jun,211,QB,Illinois,Evergreen Park,St. Laurence,,187,2947,86,24180,Illinois State,Signed,https://247sports.com/player/chase-kwiatkowski-46151297/,,,,,,,,107.4,127
Ben Taylor,2025,82,3,1-Jun,185,QB,Louisiana,Bossier City,Airline,,173,2790,63,24236,Northwestern State,Signed,https://247sports.com/player/ben-taylor-46153842/,,,,,,,,64.8,75.4
Luke Weaver,2025,82,3,3-Jun,195,QB,California,Manteca,East Union,,3,3005,18,24119,Hawaii,Enrolled,https://247sports.com/player/luke-weaver-46154338/,,,,,,,,2456.4,N/A
Blake Owen,2025,82,3,6-1.5,225,QB,Tennessee,Cookeville,Cookeville,,235,3025,88,24062,Army,HardCommit,https://247sports.com/player/blake-owen-46155961/,,,,,,,,717.8,845.5
Banks Bowen,2025,82,3,3-Jun,210,QB,Kansas,Lawrence,Lawrence,,224,2930,27,24058,Tulsa,Enrolled,https://247sports.com/player/banks-bowen-46151164/,,,,,,,,198.7,216.7
Beau Jackson,2025,79,2,3-Jun,220,QB,Michigan,West Bloomfield,West Bloomfield,,230,3420,79,24034,Pittsburgh,Enrolled,https://247sports.com/player/beau-jackson-46116681/,,,,,,,,229.5,302.6
Tre People,2025,80,3,1-Jun,199,QB,Oregon,Eugene,Willamette,,221,3297,23,24102,LSU,Enrolled,https://247sports.com/player/tre-people-46138301/,,,,,,,,1975.1,2461.1
EJ Archield Jr.,2025,84,3,4-Jun,230,QB,Florida,Tampa,Gaither,,116,2096,223,24142,Delaware,Enrolled,https://247sports.com/player/ej-archield-jr-46141852/,,,,,,,,896.9,996.9
Daniel Gomez,2025,80,3,1-Jun,205,QB,California,Hanford,Hanford,,209,3199,322,24069,Central Michigan,Enrolled,https://247sports.com/player/daniel-gomez-46142916/,,,,,,,,1898.4,2364.6
Jaden Cummings,2025,81,3,11-May,180,QB,South Carolina,Charleston,Summerville,,204,3139,45,24166,Dartmouth,HardCommit,https://247sports.com/player/jaden-cummings-46135492/,,,,,,,,859.9,1022.5
Jayce Nixon,2025,81,3,Jun-00,195,QB,Florida,Venice,Venice,,198,3093,317,24184,Northern Iowa,Signed,https://247sports.com/player/jayce-nixon-46137406/,,,,,,,,1204.9,1419.6
Stevie Diamond,2025,81,3,3-Jun,190,QB,Ohio,Akron,Buchtel,,197,3067,142,24981,Walsh,HardCommit,https://247sports.com/player/stevie-diamond-46137688/,,,,,,,,16.4,20.3
Cooper Panteck,2025,81,3,5-Jun,180,QB,Ohio,Gates Mills,Gilmour Academy,,206,3172,150,24194,Robert Morris,Signed,https://247sports.com/player/cooper-panteck-46140573/,,,,,,,,92.8,120.4
Michael Dove,2025,80,3,Jun-00,206,QB,Florida,Orlando,Lake Nona,,216,3251,334,24063,Navy,Enrolled,https://247sports.com/player/michael-dove-46142906/,,,,,,,,773.8,881.7
Malachi Lewis,2025,81,3,2-Jun,195,QB,Florida,Homestead,Homestead ,,205,3154,324,24188,Youngstown State,Signed,https://247sports.com/player/malachi-lewis-46145509/,,,,,,,,1080.3,1264.9
Andrew Heidel,2025,81,3,Jun-00,200,QB,Florida,Bradenton,Manatee,,200,3115,318,24062,Army,Enrolled,https://247sports.com/player/andrew-heidel-46148039/,,,,,,,,1076.6,1212
Grant Kinnee,2025,81,3,4-Jun,195,QB,Ohio,Whitehouse,Anthony Wayne,,199,3112,147,24208,Colgate,Signed,https://247sports.com/player/grant-kinnee-46149421/,,,,,,,,432.4,493.4
Jaxen Robinson,2025,81,3,5-Jun,225,QB,California,Gilroy,Christopher,,203,3134,315,24130,Northern Arizona,Signed,https://247sports.com/player/jaxen-robinson-46150363/,,,,,,,,567.1,690.1
Derek Morgan,2025,81,3,2-Jun,195,QB,Kansas,Goddard,Eisenhower,,201,3125,28,24213,Lehigh,Signed,https://247sports.com/player/derek-morgan-46151510/,,,,,,,,1203.6,1319.5
Zander Smith,2025,79,2,3-Jun,225,QB,Florida,Lakeland,Lakeland,,222,3342,342,24183,North Dakota State,Enrolled,https://247sports.com/player/zander-smith-46118051/,,,,,,,,1531.2,1791.4
Tanner Wilson,2025,80,3,Jun-00,170,QB,California,Fresno,Sunnyside,,211,3206,323,24062,Army,HardCommit,https://247sports.com/player/tanner-wilson-46128096/,,,,,,,,2450.2,2933.1
Sam Knuth,2025,80,3,4-Jun,200,QB,South Dakota,Harrisburg,Harrisburg,,213,3238,9,28384,Black Hills State,HardCommit,https://247sports.com/player/sam-knuth-46143897/,,,,,,,,364.2,404.3
Aiden Krause,2025,80,3,3-Jun,180,QB,Nevada,Henderson,Coronado,,220,3274,33,24210,Georgetown,Signed,https://247sports.com/player/aiden-krause-46149676/,,,,,,,,2073.3,2439.5
Xzavior Guess,2025,80,3,11-May,165,QB,California,Orange,El Modena,,218,3253,337,24158,UC Davis,Signed,https://247sports.com/player/xzavior-guess-46150001/,,,,,,,,396.2,431.7
Dominic Ingrassia,2025,80,3,4-Jun,200,QB,California,Novato,San Marin,,4,3327,24,24089,California,Enrolled,https://247sports.com/player/dominic-ingrassia-46130905/,,,,,,,,24,30.6
Jaxon Knutson,2025,79,2,6-1.5,200,QB,Arizona,Tempe,Mcclintock,,224,3350,46,24433,CSU-Pueblo,HardCommit,https://247sports.com/player/jaxon-knutson-46114741/,,,,,,,,532.4,746.4
Kaden Rolfness,2025,79,2,3-Jun,200,QB,Washington,Puyallup,Puyallup,,232,3451,72,24126,Eastern Washington,Signed,https://247sports.com/player/kaden-rolfness-46131605/,,,,,,,,221.4,278.1
Brady Ford,2025,79,2,Jun-00,205,QB,Ohio,Toledo,Whitmer,,233,3474,172,24199,Eastern Illinois,HardCommit,https://247sports.com/player/brady-ford-46141111/,,,,,,,,286.1,356.9
Holland Harris,2025,79,2,4-Jun,178,QB,Indiana,Hammond,Morton,,227,3379,63,28875,Indianapolis,HardCommit,https://247sports.com/player/holland-harris-46142769/,,,,,,,,150.6,167.8
Anthony Quinones,2025,79,2,1-Jun,180,QB,California,Winchester,Liberty,,226,3376,355,24126,Eastern Washington,Signed,https://247sports.com/player/anthony-quinones-46142896/,,,,,,,,953.6,1215.1
Sante Gasperoni,2025,79,2,3-Jun,203,QB,Michigan,Warren,De La Salle Collegiate,,225,3373,76,24277,Ferris State,HardCommit,https://247sports.com/player/sante-gasperoni-46144361/,,,,,,,,149.6,208.1
Hoyt Gregory,2025,79,2,6-3.5,210,QB,Missouri,Wentzville,North Point,,228,3395,49,24447,Lindenwood,HardCommit,https://247sports.com/player/hoyt-gregory-46147259/,,,,,,,,19.8,21.3
Jordan Simes,2025,78,2,11-May,183,QB,Michigan,Roseville,Roseville,,234,3501,85,24277,Ferris State,HardCommit,https://247sports.com/player/jordan-simes-46144188/,,,,,,,,152.4,211.7
Maverick Geske,2025,78,2,Jun-00,192,QB,Indiana,Indianapolis,Brebeuf Jesuit,,238,3572,74,24040,Indiana,Enrolled,https://247sports.com/player/maverick-geske-46147929/,,,,,,,,44.7,52.1
Zayden Stevens,2025,78,2,3-Jun,215,QB,Colorado,Colorado Springs,Vista Ridge,,237,3565,23,24403,Hamline,HardCommit,https://247sports.com/player/zayden-stevens-46153215/,,,,,,,,733.1,986
Jaylen Viars,2025,77,2,4-Jun,185,QB,Washington,Bothell,Bothell,,246,3697,88,24440,Western Oregon,HardCommit,https://247sports.com/player/jaylen-viars-46135904/,,,,,,,,207,248.3
Brady Wilson,2025,77,2,Jun-00,180,QB,Indiana,Terre Haute,Terre Haute South Vigo,,240,3641,75,24181,Indiana State,Signed,https://247sports.com/player/brady-wilson-46139864/,,,,,,,,0.4,0.8
Xander Eschelman,2025,77,2,3-Jun,190,QB,California,Menlo Park,Menlo-Atherton,,241,3650,371,24164,Columbia,HardCommit,https://247sports.com/player/xander-eschelman-46148227/,,,,,,,,2562,2945.4
Rhett Thompson,2025,77,2,5-Jun,215,QB,California,Danville,San Ramon Valley,,243,3685,376,24190,Bryant,Signed,https://247sports.com/player/rhett-thompson-46153034/,,,,,,,,2652.3,3077.8
Logan Malachuk,2025,76,2,10-May,155,QB,Illinois,La Grange Park,Nazareth Academy,,252,3765,151,24398,Central Missouri,HardCommit,https://247sports.com/player/logan-malachuk-46116586/,,,,,,,,375.3,481.9
Marley Alcantara,2025,76,2,10-May,180,QB,California,Pittsburg,Pittsburg,,250,3753,381,24258,Southern Oregon,HardCommit,https://247sports.com/player/marley-alcantara-46130894/,,,,,,,,290.7,336.9
Kylan Stueball,2025,76,2,4-Jun,227,QB,Ohio,Euclid,Euclid,,253,3768,210,24280,Grand Valley State,HardCommit,https://247sports.com/player/kylan-stueball-46140597/,,,,,,,,242.8,322.3
Noah Oury,2025,76,2,2-Jun,200,QB,Michigan,Troy,Troy,,248,3748,136,24280,Grand Valley State,HardCommit,https://247sports.com/player/noah-oury-46151572/,,,,,,,,141.7,167.5
Nick Peipert,2025,76,2,2-Jun,195,QB,Illinois,Barrington,Barrington,,251,3761,148,25469,St. Thomas,HardCommit,https://247sports.com/player/nick-peipert-46151958/,,,,,,,,317.9,367.6
Landon Tungate,2025,76,2,11-May,190,QB,Michigan,Byron Center,Byron Center,,254,3770,143,26074,Davenport,HardCommit,https://247sports.com/player/landon-tungate-46155206/,,,,,,,,10.2,14.4
James Young,2025,75,2,2-Jun,190,QB,Michigan,Muskegon,Muskegon,,258,3783,144,26074,Davenport,HardCommit,https://247sports.com/player/james-young-46116767/,,,,,,,,44.9,55.8
Axel Newell,2025,75,2,4-Jun,190,QB,Michigan,Orchard Lake,Orchard Lake St. Mary's,,259,3796,152,24495,Tiffin,HardCommit,https://247sports.com/player/axel-newell-46135119/,,,,,,,,101.9,120.7
Randall McDonald,2025,75,2,3-Jun,175,QB,Illinois,Flossmoor,Homewood-Flossmoor,,261,3822,167,24492,Findlay,HardCommit,https://247sports.com/player/randall-mcdonald-46155666/,,,,,,,,211.9,262.4
Jonathan Pittman,2025,74,2,1-Jun,205,QB,Michigan,Muskegon,Mona Shores,,263,3838,171,28876,Hope,HardCommit,https://247sports.com/player/jonathan-pittman-46138146/,,,,,,,,31.8,37
Tommy Morris,2025,74,2,Jun-00,185,QB,Oregon,Bend,Caldera,,262,3835,38,24197,Wagner,HardCommit,https://247sports.com/player/tommy-morris-46150761/,,,,,,,,2390.4,2823.5
Roy Thomas Jenkins,2025,,0,3-Jun,186,QB,Texas,Houston,Houston St. Thomas,,,,,24388,Lamar,HardCommit,https://247sports.com/player/roy-thomas-jenkins-46114615/,,,,,,,,79.8,87
Niko Boyce,2025,,0,1-Jun,200,QB,Florida,Naples,Barron Collier,,,,,29248,Anna Maria,Enrolled,https://247sports.com/player/niko-boyce-46117816/,,,,,,,,1250.4,1434.9
Jason Barket,2025,,0,1-Jun,170,QB,Florida,Miami,Miami Columbus,,,,,24490,Morehead State,HardCommit,https://247sports.com/player/jason-barket-46129400/,,,,,,,,878.2,1051.8
Braden Atkinson,2025,,0,1-Jun,210,QB,North Carolina,Rolesville,Rolesville,,,,,24365,Mercer,Enrolled,https://247sports.com/player/braden-atkinson-46130730/,,,,,,,,365.2,431.7
Trey Blakeney,2025,,0,1-Jun,190,QB,North Carolina,Cornelius,Hough,,,,,24198,Austin Peay,HardCommit,https://247sports.com/player/trey-blakeney-46130830/,,,,,,,,370.2,462.6
Jack Callaghan,2025,,0,3-Jun,210,QB,Virginia,Richmond,Collegiate School,,,,,24150,Richmond,HardCommit,https://247sports.com/player/jack-callaghan-46133557/,,,,,,,,6.4,7.6
Cooper Kmet,2025,,0,3-Jun,200,QB,Illinois,Arlington Heights,St. Viator,,,,,24180,Illinois State,HardCommit,https://247sports.com/player/cooper-kmet-46137508/,,,,,,,,120.5,138.6
Landon Walker,2025,,0,10-May,175,QB,Georgia,Alpharetta,Woodward Academy,,,,,24063,Navy,HardCommit,https://247sports.com/player/landon-walker-46139596/,,,,,,,,550.1,656.3
Shane Throgmartin,2025,,0,2-Jun,195,QB,Georgia,Hoschton,Mill Creek,,,,,24168,Pennsylvania,HardCommit,https://247sports.com/player/shane-throgmartin-46142062/,,,,,,,,621.5,726.5
Jared Lockhart,2025,,0,4-Jun,185,QB,North Carolina,Indian Trail,Porter Ridge,,,,,24245,Jackson State,Signed,https://247sports.com/player/jared-lockhart-46142082/,,,,,,,,580.7,644.2
Charlie LaMorte,2025,,0,2-Jun,210,QB,New Jersey,West Orange,West Orange,,,,,24207,Bucknell,HardCommit,https://247sports.com/player/charlie-lamorte-46142162/,,,,,,,,138.8,161
Jace Gomes,2025,,0,3-Jun,195,QB,California,San Luis Obispo,San Luis Obispo,,,,,24154,Cal Poly,HardCommit,https://247sports.com/player/jace-gomes-46142176/,,,,,,,,16.6,28.9
Preston Otter,2025,,0,4-Jun,205,QB,Michigan,Saginaw,Phillips Exeter Academy,,,,,24185,South Dakota State,Signed,https://247sports.com/player/preston-otter-46143501/,,,,,,,,642.4,918.2
Jonah Kroenung,2025,,0,Jun-00,185,QB,California,San Jose,Archbishop Mitty,,,,,24072,Miami (OH),HardCommit,https://247sports.com/player/jonah-kroenung-46144911/,,,,,,,,2002.8,2398.7
Maddox Maher,2025,,0,4-Jun,205,QB,Texas,Dripping Springs,Dripping Springs,,,,,24536,Angelo State,HardCommit,https://247sports.com/player/maddox-maher-46145241/,,,,,,,,164.9,197.4
Brady Carmical,2025,,0,2-Jun,215,QB,Virginia,Ashburn,Briar Woods,,,,,24063,Navy,HardCommit,https://247sports.com/player/brady-carmical-46146356/,,,,,,,,53.3,67.5
Brad Seiss,2025,,0,3-Jun,215,QB,Maryland,Towson,Loyola Blakefield,,,,,24193,Monmouth,HardCommit,https://247sports.com/player/brad-seiss-46146507/,,,,,,,,151.2,167.2
Camben Emanuel,2025,,0,2-Jun,200,QB,Texas,Missouri City,Fort Bend Hightower,,,,,24062,Army,HardCommit,https://247sports.com/player/camben-emanuel-46146926/,,,,,,,,1454.2,1681.9
Jake Bobo,2025,,0,Jun-00,200,QB,Georgia,Bogart,Prince Avenue Christian School,,,,,24230,Samford,Enrolled,https://247sports.com/player/jake-bobo-46147855/,,,,,,,,188,210
Logan Inagawa,2025,,0,11-May,210,QB,Georgia,Fayetteville,Starrs Mill,,,,,24218,Drake,Enrolled,https://247sports.com/player/logan-inagawa-46148007/,,,,,,,,755.1,925.9
Jordan Durham,2025,,0,2-Jun,210,QB,Florida,Jacksonville,Zarephath Academy,,,,,24231,Western Carolina,HardCommit,https://247sports.com/player/jordan-durham-46148109/,,,,,,,,355.8,484.6
Theo Setzer,2025,,0,1-Jun,180,QB,North Carolina,St. Pauls,St. Pauls,,,,,24062,Army,HardCommit,https://247sports.com/player/theo-setzer-46148269/,,,,,,,,529.9,611.7
Chase Cromartie,2025,,0,1-Jun,165,QB,Georgia,Peachtree City,McIntosh,,,,,24439,Lenoir-Rhyne,HardCommit,https://247sports.com/player/chase-cromartie-46148968/,,,,,,,,246.3,289.7
Patrick Heneghan,2025,,0,11-May,200,QB,Illinois,Winnetka,New Trier,,,,,24299,Denison,HardCommit,https://247sports.com/player/patrick-heneghan-46149598/,,,,,,,,305.7,364
Scotty Brennan,2025,,0,4-Jun,175,QB,California,Los Gatos,Los Gatos,,,,,24087,Arizona,HardCommit,https://247sports.com/player/scotty-brennan-46150742/,,,,,,,,713.9,825.9
David Potter,2025,,0,4-Jun,220,QB,Texas,Texarkana,Texas High,,,,,24083,TCU,Enrolled,https://247sports.com/player/david-potter-46151008/,,,,,,,,196.9,211.7
Jackson Byrd,2025,,0,Jun-00,190,QB,North Carolina,Clayton,Cleveland,,,,,24262,East Tennessee State,HardCommit,https://247sports.com/player/jackson-byrd-46151281/,,,,,,,,223.4,261.2
Caleb Cappuccio,2025,,0,11-May,175,QB,Texas,San Antonio,Reagan,,,,,24078,Air Force,HardCommit,https://247sports.com/player/caleb-cappuccio-46151374/,,,,,,,,753.9,878.1
Stroman Bridges,2025,,0,Jun-00,195,QB,Texas,Midland,Midland,,,,,24062,Army,HardCommit,https://247sports.com/player/stroman-bridges-46151411/,,,,,,,,1680,1929.3
Jaxson Jewell,2025,,0,6-2.5,180,QB,Florida,Deerfield Beach,Deerfield Beach,,,,,24063,Navy,HardCommit,https://247sports.com/player/jaxson-jewell-46151415/,,,,,,,,899.7,1051.6
Jason Williams,2025,,0,3-Jun,190,QB,Virginia,Virginia Beach,Salem,,,,,24063,Navy,HardCommit,https://247sports.com/player/jason-williams-46151421/,,,,,,,,149.9,240.3
JC Mirasola,2025,,0,Jun-00,180,QB,Florida,Tampa,Plant,,,,,24186,Southern Illinois,Signed,https://247sports.com/player/jc-mirasola-46151662/,,,,,,,,780.2,909.3
Nelson Layne,2025,,0,3-Jun,192,QB,Virginia,Midlothian,James River,,,,,24062,Army,HardCommit,https://247sports.com/player/nelson-layne-46151977/,,,,,,,,333.6,393.3
Vincenzo Gianforte,2025,,0,Jun-00,190,QB,Iowa,Cedar Rapids,John F. Kennedy,,,,,24218,Drake,HardCommit,https://247sports.com/player/vincenzo-gianforte-46152040/,,,,,,,,105.4,129
Lane Albright,2025,,0,1-Jun,175,QB,North Carolina,Winston Salem,Mount Tabor,,,,,24216,Davidson,Signed,https://247sports.com/player/lane-albright-46152374/,,,,,,,,52.8,65.5
Hayden Fletcher,2025,,0,2-Jun,185,QB,Arizona,Peoria,Liberty,,,,,24130,Northern Arizona,Signed,https://247sports.com/player/hayden-fletcher-46152927/,,,,,,,,115.6,139.3
Sam Wulff,2025,,0,Jun-00,197,QB,California,Arroyo Grande,Arroyo Grande,,,,,24154,Cal Poly,Signed,https://247sports.com/player/sam-wulff-46153970/,,,,,,,,13.6,18.3
Reilly Garcia,2025,,0,2-Jun,207,QB,Arizona,Gilbert,Campo Verde,,,,,24095,Washington St.,Enrolled,https://247sports.com/player/reilly-garcia-46154620/,,,,,,,,966.5,1318.9
Gregory Fee,2025,,0,5-Jun,215,QB,North Carolina,Matthews,Weddington,,,,,24224,Appalachian State,Enrolled,https://247sports.com/player/gregory-fee-46155590/,,,,,,,,93,113
