QB,CLASS,247 RATINGS,STARS,HEIGHT,WEIGHT,POSITION,STATE,HOMETOWN,HIGH SCHOOL,COMMITTED DATE,POSITION RANK,NATIONAL RANK,STATE RANK,COMMITTED SCHOOL ID,RECRUIT STATUS,PLAYER URL
Jaden O'Neal,2026,87,3,6-3,231.0,QB,Oklahoma,Mustang,Mustang,,49,949,20,24010,Enrolled,https://247sports.com/player/jaden-oneal-46131911/
Corey Dailey,2026,91,4,6-6,200.0,QB,Texas,Seguin,Seguin,,13,223,34,24034,Enrolled,https://247sports.com/player/corey-dailey-46138349/
Cole Bergeron,2026,90,4,6-5,225.0,QB,Louisiana,Lafayette,St. Thomas More,,19,326,14,24011,Enrolled,https://247sports.com/player/cole-bergeron-46139744/
Peyton Falzone,2026,89,3,6-5,216.0,QB,Pennsylvania,Nazareth,Nazareth,,27,431,11,24047,Enrolled,https://247sports.com/player/peyton-falzone-46150427/
Noah Grubbs,2026,88,3,6-4,210.0,QB,Florida,Lake Mary,Lake Mary,,30,590,75,24064,Enrolled,https://247sports.com/player/noah-grubbs-46137781/
Jyron Hughley,2026,89,3,6-2,199.0,QB,Florida,West Palm Beach,Cardinal Newman,,26,420,55,24038,Enrolled,https://247sports.com/player/jyron-hughley-46116961/
Hank Hendrix,2026,88,3,6-3,190.0,QB,Arkansas,Fayetteville,Fayetteville,,35,611,7,24097,Enrolled,https://247sports.com/player/hank-hendrix-46145107/
Derek Zammit,2026,88,3,6-1,210.0,QB,New Jersey,Wayne,DePaul Catholic,,36,612,12,24094,Enrolled,https://247sports.com/player/derek-zammit-46143305/
Tait Reynolds,2026,88,3,6-2,215.0,QB,Arizona,Queen Creek,Queen Creek,,31,607,6,24008,Enrolled,https://247sports.com/player/tait-reynolds-46141165/
Gavin Sidwar,2026,89,3,6-3,190.0,QB,Pennsylvania,Wyndmoor,La Salle College,,29,478,13,24024,Enrolled,https://247sports.com/player/gavin-sidwar-46136167/
Luke Fahey,2026,88,3,5-11,206.0,QB,California,Mission Viejo,Mission Viejo,07/03/2025,38,644,46,24046,Enrolled,https://247sports.com/player/luke-fahey-46146282/
Dante Carr,2026,88,3,6-4,220.0,QB,Pennsylvania,Minersville,Minersville,,40,741,21,24060,Enrolled,https://247sports.com/player/dante-carr-46159006/
Terry Walker III,2026,88,3,6-4,190.0,QB,Indiana,Fishers,Hamilton Southeastern ,,33,609,8,24009,Enrolled,https://247sports.com/player/terry-walker-iii-46139657/
Tayden-Evan Kaawa,2026,86,3,6-5,238.0,QB,Utah,Orem,Orem,07/22/2025,66,1426,21,24096,Enrolled,https://247sports.com/player/tayden-evan-kaawa-46141028/
Xavier Stearn,2026,87,3,6-6,220.0,QB,Pennsylvania,Fort Washington,Germantown Academy,,45,885,25,24035,Enrolled,https://247sports.com/player/xavier-stearn-46146796/
Nainoa Lopes,2026,88,3,6-3,185.0,QB,Hawaii,Honolulu,St. Louis,,34,610,4,24089,Enrolled,https://247sports.com/player/nainoa-lopes-46146726/
Ryan Hopkins,2026,87,3,6-3,205.0,QB,California,Santa Ana,Mater Dei,,48,905,67,24049,Enrolled,https://247sports.com/player/ryan-hopkins-46144241/
Miles Teodecki,2026,87,3,6-2,205.0,QB,Texas,Austin,Austin Vandegrift,,54,1095,152,24168,HardCommit,https://247sports.com/player/miles-teodecki-46154269/
Mike Mitchell Jr.,2026,86,3,5-11,180.0,QB,California,San Francisco,Archbishop Riordan,,61,1337,102,24092,Enrolled,https://247sports.com/player/mike-mitchell-jr-46135993/
Deagan Rose,2026,87,3,6-2,220.0,QB,California,Clovis,Clovis,,50,950,73,24118,Enrolled,https://247sports.com/player/deagan-rose-46139546/
Easton Webb,2026,87,3,6-4,205.0,QB,Oklahoma,Sand Springs,Charles Page,,41,857,16,24240,Enrolled,https://247sports.com/player/easton-webb-46156743/
Kane Archer,2026,85,3,6-1,200.0,QB,Arkansas,Greenwood,Greenwood,,82,1695,18,24085,Enrolled,https://247sports.com/player/kane-archer-46130500/
Nathan Bernhard,2026,87,3,6-5,227.0,QB,Ohio,Ashland,Ashland,,51,954,41,24012,Enrolled,https://247sports.com/player/nathan-bernhard-46139677/
Bryshawn Brown,2026,86,3,6-6,200.0,QB,Ohio,Cincinnati,Winton Woods,,72,1474,69,24073,Enrolled,https://247sports.com/player/bryshawn-brown-46147112/
Stephen Cannon,2026,88,3,6-2,205.0,QB,Georgia,Savannah,Benedictine Military School,,32,608,62,24030,Enrolled,https://247sports.com/player/stephen-cannon-46149189/
Jackson Taylor,2026,87,3,6-1,202.0,QB,California,Westlake Village,Thousand Oaks,,47,887,65,24117,Enrolled,https://247sports.com/player/jackson-taylor-46128483/
Cade Mitchell,2026,86,3,6-1,220.0,QB,Oregon,Beaverton,Mountainside,,77,1498,6,24081,Enrolled,https://247sports.com/player/cade-mitchell-46154129/
DJ Bordeaux,2026,87,3,6-2,200.0,QB,Colorado,Parker,Legend,,55,1161,15,24093,Enrolled,https://247sports.com/player/dj-bordeaux-46137657/
Femi Babalola,2026,87,3,6-4,230.0,QB,Tennessee,Brentwood,Ravenwood,,42,858,23,24007,Enrolled,https://247sports.com/player/femi-babalola-46151740/
Jack Daulton,2026,87,3,6-2,195.0,QB,Texas,The Woodlands,The Woodlands,,43,859,112,24083,Enrolled,https://247sports.com/player/jack-daulton-46155428/
Quinn Murphy,2026,85,3,6-3,209.0,QB,Texas,Argyle,Liberty Christian,,80,1692,212,24019,Enrolled,https://247sports.com/player/quinn-murphy-46136226/
Qur'an McNeill,2026,86,3,6-3,215.0,QB,Massachusetts,Milton,Milton Academy,,69,1470,13,24068,Enrolled,https://247sports.com/player/quran-mcneill-46142722/
Brodie McWhorter,2026,86,3,6-2,220.0,QB,Georgia,White,Cass,,62,1338,130,24104,Enrolled,https://247sports.com/player/brodie-mcwhorter-46134947/
Kaneal Sweetwyne,2026,85,3,6-3,195.0,QB,Utah,Lehi,Skyridge,,89,1872,24,24020,Enrolled,https://247sports.com/player/kaneal-sweetwyne-46135437/
Michael Johnson,2026,87,3,6-0,175.0,QB,Georgia,Douglasville,Douglas County,,53,1061,114,24085,Enrolled,https://247sports.com/player/michael-johnson-46144572/
Corin Berry,2026,87,3,6-3,206.0,QB,California,Covina,Charter Oak,,52,1038,75,24048,Enrolled,https://247sports.com/player/corin-berry-46150143/
Luke Tepas,2026,87,3,6-3,207.0,QB,Illinois,Barrington,Barrington,,46,886,22,24027,Enrolled,https://247sports.com/player/luke-tepas-46163218/
Nelson Peterson Jr.,2026,85,3,6-2.5,195.0,QB,Texas,Forney,Forney,,104,1956,266,24249,Signed,https://247sports.com/player/nelson-peterson-jr-46134591/
Cash Herrera,2026,88,3,6-2,204.0,QB,California,La Jolla,The Bishop's School,,39,721,54,24117,Enrolled,https://247sports.com/player/cash-herrera-46148370/
John Johnson III,2026,87,3,5-10,178.0,QB,Louisiana,New Orleans,Edna Karr,,59,919,30,24038,Enrolled,https://247sports.com/player/john-johnson-iii-46156141/
Bronzden Chaffin,2026,87,3,6-4,235.0,QB,Tennessee,Baxter,Upperman,,44,884,24,24224,Enrolled,https://247sports.com/player/bronzden-chaffin-46156533/
Jarin Mock,2026,86,3,6-3,212.0,QB,Ohio,Pickerington,Pickerington North,,65,1382,60,24067,Enrolled,https://247sports.com/player/jarin-mock-46149537/
Hudson Kurland,2026,85,3,6-4,193.0,QB,Oregon,Lake Oswego,Lake Oswego,,97,1924,9,24021,Enrolled,https://247sports.com/player/hudson-kurland-46152132/
Jaylen White,2026,85,3,6-0,200.0,QB,Florida,Clearwater,Clearwater,,106,1958,204,24318,Enrolled,https://247sports.com/player/jaylen-white-46156429/
Kase Evans,2026,86,3,6-3,200.0,QB,Texas,Lexington,Lexington,,57,1245,163,24047,Enrolled,https://247sports.com/player/kase-evans-46158932/
Derek Garcia,2026,86,3,6-4,205.0,QB,California,Ventura,Ventura,,64,1340,103,24084,Enrolled,https://247sports.com/player/derek-garcia-46137526/
Owen Lansu,2026,85,3,6-1,195.0,QB,Illinois,Downers Grove,Downers Grove North,,93,1907,48,24044,Enrolled,https://247sports.com/player/owen-lansu-46140777/
Cam O'Hara,2026,86,3,6-2,210.0,QB,Kentucky,Union,Cooper,,58,1246,9,24116,Enrolled,https://247sports.com/player/cam-ohara-46144455/
Malachi Marshall,2026,86,3,6-2,168.0,QB,South Carolina,Rock Hill,South Pointe,,2,1643,4,24010,Enrolled,https://247sports.com/player/malachi-marshall-46138422/
Semaj Beals,2026,86,3,6-1,190.0,QB,Pennsylvania,Philadelphia,Roman Catholic,07/19/2025,68,1447,41,24065,Enrolled,https://247sports.com/player/semaj-beals-46136316/
Michael Clayton II,2026,86,3,6-4,210.0,QB,Florida,Miami,Miami Edison,,56,1244,125,24039,Enrolled,https://247sports.com/player/michael-clayton-ii-46141419/
Jaylen Mason,2026,85,3,6-2,200.0,QB,Kansas,Wichita,Wichita Northwest,,81,1694,15,24022,Enrolled,https://247sports.com/player/jaylen-mason-46143819/
Hugh Price,2026,85,3,6-5,192.0,QB,Tennessee,Nashville,Montgomery Bell Academy,,100,1949,61,24056,Enrolled,https://247sports.com/player/hugh-price-46144823/
Darnell Kelly,2026,86,3,6-2,185.0,QB,Georgia,Fairburn,Langston Hughes,,73,1475,142,24080,Enrolled,https://247sports.com/player/darnell-kelly-46147943/
Zaid Lott,2026,86,3,6-4,225.0,QB,North Carolina,Charlotte,Providence Day School,,78,1499,43,24037,Enrolled,https://247sports.com/player/zaid-lott-46142511/
Rees Wise,2026,86,3,6-1,205.0,QB,Texas,Austin,Austin Westlake,,63,1339,175,24103,Enrolled,https://247sports.com/player/rees-wise-46143797/
Ayden Wilhelm,2026,85,3,6-1,188.0,QB,Missouri,Blue Springs,Blue Springs South,,91,1889,32,24054,Enrolled,https://247sports.com/player/ayden-wilhelm-46156081/
Zeke Andrews,2026,83,3,6-6,210.0,QB,Colorado,Arvada,Ralston Valley,,190,2773,26,24131,Signed,https://247sports.com/player/zeke-andrews-46160668/
Johnny O'Brien,2026,86,3,6-3,200.0,QB,Illinois,Palatine,Fremd,,71,1472,33,24045,Enrolled,https://247sports.com/player/johnny-obrien-46146268/
Gannon Jones,2026,85,3,5-11,175.0,QB,North Carolina,Raleigh,Cardinal Gibbons,,101,1953,56,24018,Enrolled,https://247sports.com/player/gannon-jones-46148068/
Brady Palmer,2026,86,3,6-2,200.0,QB,California,San Diego,Cathedral Catholic,,59,1247,93,24044,Enrolled,https://247sports.com/player/brady-palmer-46148348/
Rhys Brush,2026,85,3,6-2,195.0,QB,Florida,Seffner,Armwood,,86,1729,172,24098,Enrolled,https://247sports.com/player/rhys-brush-46152660/
Drew Bellisari,2026,85,3,6-3,190.0,QB,Ohio,Columbus,Bishop Watterson,,103,1955,94,24072,Enrolled,https://247sports.com/player/drew-bellisari-46156883/
Osiris Lopez,2026,85,3,6-2,200.0,QB,Massachusetts,Leominster,Leominster,,94,1909,15,24136,Enrolled,https://247sports.com/player/osiris-lopez-46142273/
Wyatt Walker Brown,2026,84,3,6-3,200.0,QB,California,Sherman Oaks,Notre Dame,,137,2470,193,24038,Enrolled,https://247sports.com/player/wyatt-walker-brown-46148930/
Noah Lee,2026,86,3,6-4,205.0,QB,Alabama,Jacksonville,Jacksonville Christian Academy,,74,1476,52,24201,Enrolled,https://247sports.com/player/noah-lee-46149789/
Brody Norman,2026,85,3,6-0,190.0,QB,North Carolina,Mooresville,Mooresville,,102,1954,57,24075,Enrolled,https://247sports.com/player/brody-norman-46155618/
Champ Mayo,2026,86,3,6-3,185.0,QB,Texas,Temple,Temple,,70,1471,196,24511,Signed,https://247sports.com/player/champ-mayo-46153372/
Tyler Bell,2026,85,3,6-1,190.0,QB,New Jersey,Jersey City,St. Peter's Prep,,92,1890,38,24142,Enrolled,https://247sports.com/player/tyler-bell-46159707/
Aedan McCarthy,2026,85,3,6-5,230.0,QB,South Carolina,Bluffton,Bluffton,,95,1910,28,24146,Enrolled,https://247sports.com/player/aedan-mccarthy-46163224/
Grant Smith,2026,83,3,6-3.5,205.0,QB,Texas,Spring,Grand Oaks,,146,2789,343,24151,Signed,https://247sports.com/player/grant-smith-46140525/
Levi Davis,2026,85,3,6-0,192.0,QB,Ohio,Lewis Center,Olentangy Orange,,85,1713,82,24074,Enrolled,https://247sports.com/player/levi-davis-46141089/
Jacob Chambers,2026,86,3,6-1,185.0,QB,California,Rancho Cucamonga,Rancho Cucamonga,,75,1495,110,24118,Enrolled,https://247sports.com/player/jacob-chambers-46146901/
Broderick Vehrs,2026,82,3,5-11,205.0,QB,Arizona,Chandler,Basha,,179,3211,55,24027,Enrolled,https://247sports.com/player/broderick-vehrs-46152848/
Mason Atkins,2026,85,3,6-3,218.0,QB,Illinois,Aurora,West Aurora,,108,1962,49,24066,Enrolled,https://247sports.com/player/mason-atkins-46155303/
Daniel Rolovich,2026,85,3,6-4,210.0,QB,California,Novato,San Marin,,88,1842,126,24124,Enrolled,https://247sports.com/player/daniel-rolovich-46140123/
Brooks Goodman,2026,85,3,6-2,212.0,QB,Georgia,Roswell,Blessed Trinity Catholic,,99,1940,182,24031,Enrolled,https://247sports.com/player/brooks-goodman-46151318/
